57;99
69;199
73;300
58;400
60;500
52;601
74;701
58;801
73;902
69;1002
50;1103
55;1204
62;1304
52;1404
77;1505
73;1605
57;1705
69;1806
60;1906
72;2007
53;2107
69;2207
59;2308
67;2408
60;2508
53;2609
59;2709
68;2809
76;2911
75;3011
57;3111
76;3212
52;3312
57;3412
70;3513
53;3613
69;3714
69;3814
59;3914
71;4015
57;4115
52;4215
63;4316
56;4416
55;4516
55;4618
58;4718
51;4818
74;4919
57;5019
61;5120
73;5220
78;5320
54;5421
78;5521
70;5621
74;5722
76;5822
50;5922
63;6023
72;6123
66;6223
59;6325
64;6425
61;6525
63;6626
77;6726
68;6827
68;6927
63;7027
78;7128
51;7228
75;7328
63;7429
65;7529
54;7629
73;7730
56;7830
55;7930
79;8031
65;8132
54;8232
59;8333
51;8433
67;8534
55;8634
65;8734
64;8835
71;8935
68;9035
68;9136
73;9236
55;9336
72;9437
62;9537
76;9637
66;9738
77;9839
58;9939
74;10040
71;10140
