57;99
69;199
73;301
58;401
60;501
52;602
74;702
58;802
73;903
69;1003
50;1103
55;1204
62;1305
52;1405
77;1506
73;1606
57;1707
69;1807
60;1908
72;2009
53;2109
69;2209
59;2310
67;2410
60;2511
53;2612
59;2712
68;2812
76;2913
75;3013
57;3115
76;3215
52;3315
57;3416
70;3516
53;3616
69;3718
69;3818
59;3918
71;4019
57;4119
52;4219
63;4321
56;4421
55;4521
55;4622
58;4722
51;4823
74;4924
57;5024
61;5125
73;5225
78;5325
54;5426
78;5527
70;5627
74;5728
76;5828
50;5928
63;6029
72;6130
66;6231
59;6331
64;6431
61;6532
63;6632
77;6733
68;6834
68;6934
63;7034
78;7135
51;7235
75;7336
63;7437
65;7537
54;7638
73;7738
56;7838
55;7940
79;8040
65;8140
54;8241
59;8341
51;8441
67;8542
55;8643
65;8743
64;8844
71;8944
68;9044
68;9145
73;9246
55;9347
72;9447
62;9547
76;9648
66;9748
77;9849
58;9950
74;10050
71;10150
